ISBSG Project ID;Data Quality Rating;UFP rating;Year of Project;Industry Sector;Organisation Type;Application Group;Application Type;Development Type;Development Platform;Language Type;Primary Programming Language;Count Approach;Functional Size;Relative Size;Adjusted Function Points;Value Adjustment Factor;Normalised Work Effort Level 1;Normalised Work Effort;Summary Work Effort;Normalised Level 1 PDR (ufp);Normalised PDR (ufp);Pre 2002 PDR (afp);Defect Density;Speed of Delivery;Manpower Delivery Rate;Project Elapsed Time;Project Inactive Time;Implementation Date;Project Activity Scope;Effort Plan;Effort Specify;Effort Design;Effort Build;Effort Test;Effort Implement;Effort Unrecorded;Minor Defects;Major Defects;Extreme Defects;Total Defects Delivered;Business Area Type;Software Process CMM;Software Process CMMI;Software Process SPICE;Software Process ISO;Software Process TICKIT;Software Process Other;Package Customisation;Degree of Customisation;Architecture;Client Server?;Client Roles;Server Roles;Type of Server;Client/Server Description;Web Development;Development Methodologies;Development Techniques;JAD Method Used;Prototyping Used;Planning Documents;Specification Documents;Specification Techniques;Design Documents;Design Techniques;Build Products;Build Activity;Test Documents;Test Activity;Implement Documents;Implement Activity;Functional Sizing Technique;FP Standard;FP Standards All;Reference Table Approach;1st Hardware;1st Language;1st Operating System;Integrated Development Environment;1st Debugging Tool;1st Data Base System;1st Component Server;1st Web Server;1st Message Server;1st Other Platform;2nd Hardware;2nd Language;2nd Operating System;2nd Data Base System;2nd Component Server;2nd Web Server;2nd Message Server;2nd Other Platform;CASE Tool Used;Used Methodology;How Methodology Acquired;User Base - Business Units;User Base - Locations;User Base - Distinct Users;User Base - Concurrent Users;Intended Market;Target Platform;Device Embedded;Recording Method;Resource Level;Team Size Group;Max Team Size;Average Team Size;Ratio of Project Work Effort to Non-Project Activity;Percentage of Uncollected Work Effort;Input count;Output count;Enquiry count;File count;Interface count;Added count;Changed count;Deleted count;COSMIC Entry;COSMIC Exit;COSMIC Read;COSMIC Write;Lines of Code;Lines of Code not Statements;Other Size Units
19590;B;A;2000;Wholesale & Retail;"Wholesale & Retail Trade;";Business Application;"Management Information System;";Enhancement;PC;3GL;COBOL;IFPUG 4+;52;3. S;55;1,05;;4022;3700;;77,3;67,3;;10,4;;5;;jun-00;"Specification;Build;Test;Implement;";;;;;;;;;;;;;;;;;;;No;;Stand alone;No;;;;;;;;;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4;"IFPUG 4;";;"PC;";"COBOL;";"Batch - PC;";;;;;;;;;;;;;;;;Yes;Yes;;;;;;;;;Staff hours (recorded);4;;;;;;18;5;15;14;0;52;0;0;;;;;;;
19598;B;B;2004;Government;"Public Administration;";;;Enhancement;Multi;3GL;C++;FiSMA;;3. S;38;;244;244;222;;;5,8;;;;1,3;0,28;05-mar-04;"Design;";;0;222;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"Multi Platform;";"C++;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19600;B;A;2002;;;;;Enhancement;;;;IFPUG 4+;476;5. M2;476;1;10880;10880;10880;22,9;22,9;22,9;;52,9;;9;0;;"Specification;Build;Test;";;320;;3808;5776;;976;;;;;;;;;;;;Don't Know;;;;;;;;;;;;;;;;;;;;;;;;"Wholly manual;";"CPM4.0;Addendum to existing standards;";"CPM4.0;Addendum to existing standards;";"Don't Know;";;;;;;;;;;;;;;;;;;;Don't Know;Don't Know;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19606;B;A;2002;Insurance;"Insurance;";Business Application;"Financial transaction process/accounting;";Enhancement;MF;3GL;Java;IFPUG 4+;155;4. M1;155;;1974;1974;1974;12,7;12,7;12,7;;51,7;7,4;3;0;30-sep-02;"Planning;Specification;Build;Test;Implement;";;;;;;;1974;;;;;"Don't Know;";;;;;;;No;;;Don't Know;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MF;";"Java;JSP;HTML;COBOL;XML;";"Solaris(Server);OS/400;";;;"IMS;DB2 UDB;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (recorded);1;05-ago;7;;100%;Unable to estimate;15;20;8;85;27;0;155;0;;;;;;;
19614;B;A;2004;;;;;Enhancement;;3GL;Java;IFPUG 4+;169;4. M1;176;1,04;3705;3705;3705;21,9;21,9;21,1;;;;;;;;;;;;;;3705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"Java;Lotus Script;";;;;;;;;;;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;48;35;24;62;0;0;169;0;;;;;;;
19616;B;A;2002;Manufacturing;"Manufacturing;";Business Application;"Sales contact management;";Enhancement;Multi;4GL;SQL;IFPUG 4+;126;4. M1;126;;1442;1442;1442;11,4;11,4;11,4;;10,5;;12;0;31-mar-02;"Planning;Specification;Build;Test;Implement;";;;;;;;1442;;;;;"Don't Know;";;;;;;;No;;Multi-tier / Client server;Yes;;;;"C/S;";;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MR;";"SQL;VBA;";"Windows 95;";;;"Oracle;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (recorded);1;;;;100%;Unable to estimate;10;13;60;28;15;41;85;0;;;;;;;
19618;B;A;2000;Banking;"Banking;";Business Application;"Sales contact management;";Enhancement;MF;3GL;PL/I;IFPUG 4+;30;3. S;30;;1343;1343;1249;44,8;44,8;41,6;;6;;5;0;30-sep-00;"Planning;Specification;Build;Test;";;;;;;;1249;;;;;"Don't Know;";;;;;;;No;;;Don't Know;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MF;";"PL/I;";"MVS ESA;";;;"IMS;";;;;;;;;;;;;;Yes;Don't Know;;;;;;;;;Staff hours (derived);1;;;;100%;Unable to estimate;0;30;0;0;0;25;5;0;;;;;;;
19624;B;B;1997;Government;"Government;";Business Application;"Government;";New Development;PC;4GL;DELPHI;IFPUG 4+;146;4. M1;146;;3932;3932;3932;26,9;26,9;26,9;;13,2;4,4;11,1;;25-nov-97;;;;;;;;3932;;;;;;;;;;;;;;;;;;;;;"Rapid Application Development (RAD);";;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"DELPHI;";;;;;;;;;;;;;;;;;;;;;;;;;;;Timesheets;1;03-abr;3;;;;;;;;;146;;;;;;;;;
19626;B;A;2002;Financial;"Financial, Property & Business Services;";Business Application;"Financial transaction process/accounting;";Enhancement;MF;4GL;Oracle;IFPUG 4+;50;3. S;51;1,03;921;921;921;18,4;18,4;18,1;;;;;;mar-02;;;;;;;;921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;;"Oracle;";"UNIX;";;;"Interactive;";;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19627;B;A;2009;Banking;"Banking;";Real-Time Application;"Financial transaction process/accounting;";Enhancement;MF;3GL;PL/I;IFPUG 4+;410;5. M2;410;1;9098;10623;10623;22,2;25,9;25,9;12,2;51,3;3,9;8;0;22-nov-09;"Planning;Specification;Design;Build;Test;Implement;Proj Management;";688;26;1360;3051;2613;1360;0;;;;5;;;;;;;;;;Stand alone;No;;;;;;;"Business Area Modelling;";;;"Budget;Business Case;Project Schedule;";"Requirements Specification;";"Specification Review;";"Technical Specification;Detailed Design Documents;";"Design Review/Inspection;";"Source Code/Objects;Unit Test Plans/Designs;Integration Scripts/Checklist;";"Unit Testing;Code Review/Inspection;Software Integration;System Integration;";"Test Plans/Designs;Test Data;Incident/Defect Lists;";"Manual Testing;Regression Testing;";"Incident/Defect Lists;End user Manual or Help;End user Training Material;";"Prepare for Delivery/Installation;Acceptance/Beta Testing;Provide User Training;";"Manual supported by a tool;";IFPUG 4.2;"IFPUG 4.2;";"Counted each table as a logical file;";;"PL/I;";"Mainframe;Z/OS;";No;;"DB2;";No;No;No;;;;;;;;;;No;Yes;"Developed In-house;";;1;20;;"Customer, users & team in same org;";;;Recorded work on project tasks each day;4;sep-14;13;7,2;;;216;143;51;0;0;61;286;63;;;;;;;
19636;B;C;1999;Manufacturing;"Manufacturing;";;;New Development;PC;3GL;C++;FiSMA;;3. S;71;;207;207;207;;;2,9;;;;8;2;14-ene-99;;;;;;;;207;;;;;;;;;;;;;;;;;;;;;;"Prototyping;";;Yes;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"PC-Network;";"C++;";;;;;;;;;;;;;;;;;;Yes;;;;1;;"Outsourced for internal business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19638;B;B;2011;Manufacturing;"Manufacturing;";Business Application;"Follow up of car failure;";Enhancement;PC;3GL;Visual Basic;IFPUG 4+;268;4. M1;268;;;2033;1870;;7,6;7;3,7;28,5;;9,4;;12-ene-11;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;1;"Quality;";;;;;;;No;;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";Addendum to existing standards;"IFPUG 4.1;Addendum to existing standards;";;;"Visual Basic;";"Windows;";;;"File;";;;;;;;;;;;;;Yes;Yes;"Developed In-house;";;;;;"In House;Medium relationship;";;;Staff hours (recorded);;;;;;;;;;;;;;;;;;;;;
19639;B;B;2010;Manufacturing;"Manufacturing;";Business Application;"Car design;";Enhancement;Multi;;Caa;IFPUG 4+;59;3. S;59;;;575;575;;9,7;9,7;0;5,1;;11,5;;15-mar-10;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"Product, Process & Design;";;;;;;;Yes;0%;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";Addendum to existing standards;"IFPUG 4.1;Addendum to existing standards;";;;"CaaV5;";;;;;;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Customer, users & team in same org;In House;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
19643;B;B;2010;Manufacturing;"Manufacturing;";Business Application;"Production management;";Enhancement;MF;3GL;Java;IFPUG 4+;56;3. S;56;;;907;834;;16,2;14,9;0;5,2;;10,8;;28-nov-10;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"Inbound Logistics;";;;;;;;No;;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";Addendum to existing standards;"IFPUG 4.1;Addendum to existing standards;";;;"Java;JEE;";"MVS;";;;"DB2;";;;;;;;;;;;;;Yes;Yes;"Developed In-house;";;;;;"Purchased;Good relationship;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
19644;B;A;1997;;;;;New Development;;3GL;PASCAL;IFPUG 4+;334;5. M2;334;1;1750;1750;1120;5,2;5,2;3,4;;55,7;18,6;6;0;jul-97;"Build;Test;";;;;910;210;;0;;;;;;;;;;;;Don't Know;;;;;;;;;;;;;;;;;;;;;;;;"Wholly manual;";"CPM4.0;Addendum to existing standards;";"CPM4.0;Addendum to existing standards;";"Don't Know;";;"PASCAL;";;;;;;;;;;;;;;;;;Don't Know;Don't Know;;;;;;;;;Staff hours (recorded);1;03-abr;3;2;;;;;;;;;;;;;;;13.000;;
19656;B;A;2003;;;;;New Development;;3GL;JavaScript;IFPUG 4+;392;5. M2;408;1,04;5748;5748;5748;14,7;14,7;14,1;;;;;;;;;;;;;;5748;;;;;;;;;;;;;;;;;;;;Web;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;"Web;";"JavaScript;SQL;";"Web;";;;"Interactive;";;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19659;B;B;2004;;;Business Application;"Financial application area;";Enhancement;Multi;3GL;Java;IFPUG 4+;61;3. S;61;;354;354;354;5,8;5,8;5,8;;20,3;;3;;;;;;;;;;354;;;;;;;;;;;;;;Multi-tier with web public interface;;;;;"Web;";Web;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;"Web;";"Java / J2EE;";;;;"Interactive;";;;;"Average Complexity;";;;;;;;;;;Yes;"Traditional;";;;;;;;;Staff hours (derived);1;;;;;;;;;;;;;;;;;;;;
19660;B;A;2002;Financial;"Financial, Property & Business Services;";Business Application;"Financial transaction process/accounting;";Enhancement;MF;3GL;Unix Shell;IFPUG 4+;97;3. S;107;1,1;1211;1211;1211;12,5;12,5;11,3;;;;;;jul-02;;;;;;;;1211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;;"UNIX Shell;";"UNIX;";;;"Interactive;";;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19665;A;A;1991;Manufacturing;"Manufacturing;";Business Application;"Transaction/Production System;";New Development;MR;4GL;;IFPUG 4+;1095;6. L;1248;1,14;11930;15165;15165;10,9;13,8;12,2;86,8;91,3;9,1;12;0;ene-91;"Planning;Specification;Build;Test;Implement;";3120;1420;;3270;1914;2206;0;80;15;0;95;"Logistics;";;;;;;;No;;Stand alone;No;;;;;;;"Data Modelling;Process Modelling;Prototyping;";;Yes;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4;"IFPUG 4;";"Counted each table as a logical file;";"SIEMENS MK 500;";"INFORMIX 4 GC;C;";"SINIX;";;No;"INFORMIX;";;;;;;;;;;;;;Yes;Yes;"Combined Developed/Purchased;";2;2;;25;"External for external business unit;";;;Staff hours (recorded);4;sep-14;10;6,6;;;249;262;146;423;15;1095;;;;;;;;;
19669;B;A;2002;Wholesale & Retail;"Ordering;";Business Application;"Stock control & order processing;";Enhancement;;;;IFPUG 4+;52;3. S;56;1,07;654;654;654;12,6;12,6;11,7;;;;;;sep-02;;;;;;;;654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;;"Calibrated;HTML;Java;JavaScript;Shell Script;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19671;B;A;1998;;;Business Application;"Transaction/Production System;";Enhancement;MF;3GL;COBOL;IFPUG 4+;98;3. S;110;1,12;3271;3271;2944;33,4;33,4;26,8;;5,6;0,9;17,4;0;28-ago-98;;;264;;1856;616;208;0;;;;;;;;;;;;No;;Multi-tier;No;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.0;"IFPUG 4.0;";;"Mainframe 60%;Midrange 20%;PC 20%;";"COBOL;C++;";"MVS;";;;"DB2;VSAM;";;;;;;;;;;;;;No;Yes;"Developed In-house;";;;;;;;;Staff hours (recorded);1;05-ago;6;;;;;;;;;;;;;;;;;;
19673;A;B;2005;Government;"Government;";Business Application;"Catalogue/register of things or events;Document management;Online analysis and reporting;Workflow support & management;";New Development;Multi;3GL;Java;IFPUG 4+;51;3. S;51;;3712;3712;3712;72,8;72,8;72,8;;4,3;0,9;12;0;20-feb-05;"Planning;Specification;Design;Build;Test;Implement;";;;;;;;3712;;;;;;;;;ISO 9002;;;;;Client server;Yes;"Data entry & validation;Device/equipment interface;Web/HTML browser;";"Database server;FTP server;HTML/web server;Mail server;Security/authentication;";;;Web;;;;;"Budget;Project Schedule;Risk Analysis;Software Development Plan;";"Requirements Specification;Functional Specification;System Analysis Report;Logical Data/ER Model;Use Case Model;External/System Interface Specifications;";;"Technical Specification;Detailed Design Documents;";;"Source Code/Objects;Database Objects;Unit Test Plans/Designs;Integration Scripts/Checklist;";"Unit Testing;Software Integration;System Integration;";"Test Plans/Designs;Test Data;";;"End user Manual or Help;Operation/Admin. Manual;";;"Manual supported by a tool;";IFPUG 4.1;"IFPUG 4.1;";"Combined all tables into a single file;";;"Java;";"HP-UX;";Yes;No;"Oracle;";;Yes;;;;;;;;;;;No;Yes;"Developed In-house;";200;1;;50;"Customer, users & team in same org;";;;Recorded hours on each project/day/week;1;05-ago;5;;70%;;0;31;0;0;20;51;;;;;;;;;
19676;B;B;2009;Manufacturing;"Manufacturing;";Business Application;"Selling application;";Enhancement;PC;3GL;Java;IFPUG 4+;101;4. M1;101;;;3184;3184;;31,5;31,5;0;6,6;;15,2;;07-abr-09;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"Sales;";;;;;;;No;;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";IFPUG 4.1;"IFPUG 4.1;Addendum to existing standards;";;;"Java;JEE;";"Windows XP;";;;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Customer, users & team in same org;Purchased;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
19679;B;B;2005;Government;"Public Administration;";;;New Development;Multi;3GL;Java;FiSMA;;4. M1;114;;735;735;735;;;6,4;;;;3;;22-feb-05;;;;;;;;735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"Multi Platform;";"Java;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19680;B;A;2002;;"Local;";Business Application;"Ordering & provisioning system;";Enhancement;MF;3GL;C;IFPUG 4+;119;4. M1;138;1,16;1907;1907;1907;16;16;13,8;;;;;;jul-02;;;;;;;;1907;;;;;;;;;;;;;;Stand alone;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;"UNIX;";"C;C++;SQL;JavaScript;Java;Shell Script;VBScript;";"UNIX;";;;"Oracle;";;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19683;B;B;2005;;;;;New Development;Multi;3GL;Java;IFPUG 4+;44;3. S;44;1;324;324;269;7,4;7,4;6,1;;40;;1,1;;;"Specification;Design;Build;Test;";;;;;;;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.0;"IFPUG 4.0;";;"UNIX;";"J2EE;";;;;;;;;;;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;44;;;;;;;;;
19684;D;C;2003;Insurance;"Insurance;";;;New Development;MF;3GL;PL/I;FiSMA;;5. M2;404;;2346;2346;2346;;;5,8;;;;5;1;06-feb-03;;;;;;;;2346;;;;;;;;;;;;;;;;;;;;;;;;;;;"Reviews;";;"Risk analysis;";;"Test planning;";;"Reviews;";;"Functional sizing;";"Automated by a tool;";FiSMA;"FiSMA;";;"Mainframe;";"PL/I;";;;;;;;;;;;;;;;;;;Yes;;;;>50;;"External for external business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19685;B;C;2003;Banking;"Banking;";;;New Development;Multi;3GL;Java;FiSMA;;5. M2;505;;3072;3072;2181;;;4,3;;;;13;0;31-dic-03;"Design;Build;Test;Implement;";;;25;1691;465;;0;;;;;;;;;;;;;;;;;;;;;"Waterfall (includes Linear Processing);";;;;;;"Reviews;";;"Load analysis;";;"Test planning;";;"Effort estimates;";;"System testing;";"Automated by a tool;";FiSMA;"FiSMA;";;"Multi Platform;";"Java;";;;;;;;;;;;;;;;;;;Yes;;;;>50;;"In-house for internal business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19686;B;C;1998;Communication;"Telecommunication;";Business Application;"Transaction/Production System;";Enhancement;;3GL;COBOL;IFPUG 4+;;4. M1;112;;428;516;428;;;3,8;;;;3;;ene-98;"Specification;Build;Test;";;;;;;;428;;;;;;;;;;;;;;Client server;Yes;;;;;;;;;;;;;;;;;;;;;;IFPUG 4;"IFPUG 4;";;;"COBOL II;";;;;;;;;;;;;;;;;;No;Yes;"Developed In-house;";;;;;;;;Staff hours (recorded);1;;;;;;24;55;0;0;28;107;0;0;;;;;;;
19687;B;C;2001;Insurance;"Insurance;";;;Enhancement;MF;3GL;PL/I;FiSMA;;4. M1;236;;1494;1494;1494;;;6,3;;;;6;1;28-sep-01;;;;;;;;1494;;;;;;;;;;;;;;;;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"Mainframe;";"PL/I;";;;;;;;;;;;;;;;;;;Yes;;;;jun-50;;"Outsourced for internal business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19688;B;B;2009;Manufacturing;"Manufacturing;";;;New Development;;;;IFPUG 4+;184;4. M1;184;;;1382;1382;;7,5;7,5;0;18;;10,2;;09-dic-09;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"Product, Process & Design;";;;;;;;No;;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";IFPUG 4.1;"IFPUG 4.1;Addendum to existing standards;";;;"JEE;";;;;;;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Customer & team 1 org, users in another;In House;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
19690;B;B;2009;Logistics;"Logistics;";;;New Development;Multi;4GL;Oracle;NESMA;295;4. M1;295;;2385;2385;1765;8,1;8,1;6;;84,3;;3,5;;;"Design;Build;Test;";;;;;;;1765;;;;;;;;;;;;;;Client server;Yes;;;;;;;;;;;;;;;;;;;;;;NESMA;"NESMA;";;;"Oracle;";;;;;;;;;;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19697;B;A;2004;;;Mathematically-Intensive Application;"Network Switch Provisioning;";Enhancement;;3GL;C;IFPUG 4+;4;1. XXS;5;1,18;612;612;612;153;153;122,4;;;;;;;;;;;;;;612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"C;";;;;;;;;;;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19700;D;;2005;Banking;"Banking;";Business Application;"Web-based App. DOTNet;";Enhancement;PC;4GL;ASP;LOC;;;;;8860;8453;4289;;;;;;;15,6;;31-jul-05;;;;1370;2919;;407;;;;;0;;;;;;;;;;;;;;;;Web;;;;;;;;;;;;;;;;;;;;;"ASP.NET;VB Dotnet;";"Windows 95-2k;";;;"SQL Server;";;;;"% of 1st language 50% - % of 2nd language 50%;";;;;;;;;;;;;;;;;;;;Recorded hours on each project/day/week;4;41-50;43;;;;;;;;;;;;;;;;67.750;;
19701;B;;2009;Service Industry;"Air Traffic Management;";Real-Time Application;"Air Traffic Management;";New Development;MR;3GL;C++;COSMIC;215;4. M1;215;;9344;9344;9344;43,5;43,5;43,5;23,3;4;;54;20;01-feb-09;;;;;;;;9344;5;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COSMIC 3.0;"COSMIC 3.0;";;;"C++;";"Linux Red Hat;";;;"MySQL;";;;;;;;;;;;;;;;;;;;;;MR   (Mid range);;;1;;;;;Unable to estimate;;;;;;215;;;52;56;58;49;;;
19704;A;A;2000;Communication;"Communications;";Business Application;"Transaction/Production System;";New Development;;3GL;COBOL;IFPUG 4+;391;5. M2;387;0,99;3287;3960;3287;8,4;10,1;8,5;;23;2,3;17;;may-00;"Specification;Build;Test;";;;;;;;3287;;;;;"Telecommunications;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4.0 & Addendum to existing standards;"Addendum to existing standards;";"Combined all tables into a single file;";;"COBOL II;";;;;;;;;;;;;;;;;;Yes;Yes;"Developed In-house;";;;;;"Outsourced for internal business unit;";;;Staff hours (recorded);1;sep-14;10;10;100%;;109;118;67;90;7;391;;;;;;;;;
19706;B;C;2006;;;Business Application;"Financial transaction process/accounting;";New Development;Multi;3GL;Java;IFPUG 4+;;5. M2;342;;5565;5565;5565;;;16,3;;;;10,7;;2006;;;;;;;;5565;;;;;;;;;;;;;;;;;;;;Web;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"Java / similar;";;;;"Interactive;";;;;"Web e-bus;";;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19708;B;;2004;Communication;"Communications;";;;Enhancement;MF;3GL;COBOL;LOC;;;;;1302;1302;1302;;;;;;;7;0;28-ago-04;"Partial Life Cycle;";44;211;142;180;348;228;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"IBM Mainframe & Compatibles;";"COBOL / COBOL II / COBOL III 95%;EZTRIEVE / EZTRIEVE PLUS 5%;";"OS/390;";;;"DB2;";;;;;;;;;;;;;;Yes;;;;;0;;;;Staff hours (recorded);1;05-ago;5;;;;;;;;;;;;;;;;34.086;;
19713;B;B;2008;Government;"Government;Defence;";Business Application;"Reporting;";Enhancement;MF;3GL;COBOL;IFPUG 4+;11;2. XS;11;;246;246;246;22,4;22,4;22,4;0;0,9;;12,2;;2008;;;;;;;;246;0;0;;0;;Software-CMM Level 4;;;;;;;;Stand alone;No;;;;;;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;"Mainframe;";"COBOL;Focus;";;;;;;;;"Reporting;";;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
19714;A;A;2008;Government;"Government;";Business Application;"Management of Licences and Permits;";Enhancement;MF;ApG;COOL:Gen;IFPUG 4+;54;3. S;65;1,2;2222;2222;2022;41,1;41,1;31,1;0;4;;13,5;;nov-08;;;128;58;960;542;334;0;0;0;0;0;;;;;;;;;;Stand alone;;;;;;;;;;;"Yes - inhouse;";"Yes - inhouse;";;"Yes - inhouse;";;"Yes - inhouse;";;"Yes - inhouse;";;"Yes - inhouse;";;;IFPUG 4.2;"IFPUG 4.2;";;;"COOL:Gen;";;;;;;;;;;;;;;;;;;Yes;;;;;;;MF   (Mainframe);;Staff hours (recorded);1;;;;;;4;35;10;0;5;35;19;0;;;;;;;
